corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;temperaturasaidafp;temperaturaobjetivada
7691;180.0;336236CB;1F3F501C;0.02;0.16;0.18;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;1670;1543.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;51.0;1503.0;1678;1543.0
7689;90.0;E5AB530D;96956A01;0.02;0.15;0.17;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;1672;1540.0
7688;90.0;457B036C;96956A01;0.02;0.17;0.19;0.01;0.02;1.0;3.0;15.0;14.0;2191.0;51.0;1500.0;1674;1540.0
7687;90.0;8F368B5C;96956A01;0.02;0.15;0.17;0.01;0.02;1.0;3.0;1.0;11.0;0.0;46.0;1500.0;1662;1540.0
7686;90.0;09B2876D;A8E02CB3;0.01;0.59;0.65;0.0;0.03;10.0;10.0;16.0;3.0;530.0;18.0;1480.0;1635;1525.0
7685;90.0;024B7A27;7BF6FBDF;0.02;0.5;0.54;0.0;0.01;9.0;10.0;8.0;20.0;2636.0;34.0;1482.0;1639;1537.0
7684;90.0;F4504489;7BF6FBDF;0.02;0.53;0.56;0.0;0.01;8.0;10.0;6.0;36.0;1498.0;34.0;1482.0;1645;1537.0
7683;90.0;BE549482;7BF6FBDF;0.02;0.56;0.6;0.0;0.01;7.0;10.0;15.0;13.0;1888.0;34.0;1482.0;1644;1537.0
7682;90.0;951A8424;7BF6FBDF;0.02;0.54;0.58;0.0;0.01;6.0;10.0;16.0;2.0;296.0;34.0;1482.0;1658;1537.0
7681;90.0;D46C6DCF;7BF6FBDF;0.01;0.45;0.48;0.0;0.01;5.0;10.0;8.0;19.0;2410.0;34.0;1482.0;1643;1537.0
7680;90.0;6B3E48DB;7BF6FBDF;0.01;0.42;0.45;0.0;0.01;4.0;10.0;17.0;55.0;2461.0;34.0;1482.0;1645;1537.0
7679;90.0;D544FEAB;7BF6FBDF;0.01;0.39;0.42;0.0;0.01;3.0;10.0;6.0;35.0;1208.0;34.0;1482.0;1644;1537.0
7678;90.0;CBD78799;7BF6FBDF;0.02;0.51;0.55;0.0;0.01;2.0;10.0;15.0;12.0;1592.0;34.0;1482.0;1642;1537.0
7677;90.0;18CD0678;7BF6FBDF;0.02;0.52;0.55;0.0;0.01;1.0;10.0;16.0;1.0;0.0;34.0;1482.0;1690;1537.0
7676;90.0;EA81AF8A;7BF6FBDF;0.01;0.42;0.45;0.0;0.01;10.0;10.0;8.0;18.0;2106.0;34.0;1482.0;1653;1537.0
7675;90.0;EFD10552;7BF6FBDF;0.02;0.48;0.51;0.0;0.01;9.0;10.0;17.0;54.0;2155.0;34.0;1482.0;1643;1537.0
7674;90.0;28A141D1;7BF6FBDF;0.02;0.53;0.56;0.0;0.01;8.0;10.0;6.0;34.0;908.0;34.0;1482.0;1639;1537.0
7673;90.0;F443032E;7BF6FBDF;0.02;0.49;0.53;0.0;0.01;7.0;10.0;1.0;10.0;1240.0;34.0;1482.0;1643;1537.0
7672;90.0;347EC14A;7BF6FBDF;0.01;0.39;0.42;0.0;0.01;6.0;10.0;15.0;11.0;1235.0;34.0;1482.0;1646;1537.0
7671;90.0;85EBFAEC;7BF6FBDF;0.01;0.37;0.4;0.0;0.01;5.0;10.0;8.0;17.0;1805.0;34.0;1482.0;1644;1537.0
7670;90.0;4AE42C69;7BF6FBDF;0.01;0.41;0.44;0.0;0.01;4.0;10.0;17.0;53.0;1860.0;34.0;1482.0;1644;1537.0
7669;90.0;951CC45B;7BF6FBDF;0.01;0.36;0.39;0.0;0.01;3.0;10.0;6.0;33.0;609.0;34.0;1482.0;1643;1537.0
7668;90.0;998D176C;7BF6FBDF;0.01;0.42;0.45;0.0;0.01;2.0;10.0;1.0;9.0;933.0;34.0;1482.0;1645;1537.0
7667;90.0;1FF35394;7BF6FBDF;0.01;0.4;0.43;0.0;0.01;1.0;10.0;15.0;10.0;925.0;34.0;1482.0;1663;1537.0
7666;90.0;D9F7EABB;59D14704;0.02;0.56;0.61;0.0;0.01;6.0;6.0;8.0;16.0;1501.0;34.0;1487.0;1643;1537.0
7665;90.0;C203B1A5;59D14704;0.02;0.54;0.58;0.0;0.01;5.0;6.0;17.0;52.0;1561.0;34.0;1487.0;1637;1537.0
7664;90.0;5F13B080;59D14704;0.02;0.62;0.66;0.0;0.01;4.0;6.0;6.0;32.0;303.0;34.0;1487.0;1642;1537.0
7663;90.0;3C3A5365;59D14704;0.01;0.47;0.5;0.0;0.01;3.0;6.0;1.0;8.0;632.0;34.0;1487.0;1643;1537.0
7662;90.0;1F8EFC41;59D14704;0.01;0.48;0.52;0.0;0.01;2.0;6.0;15.0;9.0;623.0;34.0;1487.0;1640;1537.0
7661;90.0;B22599BB;59D14704;0.01;0.42;0.46;0.0;0.01;1.0;6.0;8.0;15.0;1193.0;44.0;1487.0;1656;1537.0
7660;90.0;9DFFC174;59D14704;0.02;0.65;0.7;0.0;0.01;6.0;6.0;17.0;51.0;1249.0;34.0;1487.0;1647;1537.0
7659;90.0;C6CC3C09;59D14704;0.02;0.64;0.69;0.0;0.01;5.0;6.0;6.0;31.0;0.0;34.0;1487.0;1670;1537.0
7658;90.0;503CA217;59D14704;0.02;0.56;0.6;0.0;0.01;4.0;6.0;1.0;7.0;329.0;34.0;1487.0;1643;1537.0
7657;90.0;55EE9426;59D14704;0.02;0.64;0.69;0.0;0.01;3.0;6.0;15.0;8.0;331.0;34.0;1487.0;1639;1537.0
7656;90.0;131E5501;59D14704;0.02;0.52;0.56;0.0;0.01;2.0;6.0;8.0;14.0;903.0;34.0;1487.0;1643;1537.0
7655;90.0;B4305CB7;59D14704;0.01;0.44;0.47;0.0;0.01;1.0;6.0;17.0;50.0;944.0;44.0;1487.0;1652;1537.0
7654;90.0;EA10739A;71A937D5;0.02;0.42;0.48;0.0;0.02;5.0;5.0;1.0;6.0;0.0;34.0;1487.0;1664;1542.0
7653;90.0;950C8152;71A937D5;0.01;0.37;0.42;0.0;0.02;4.0;5.0;15.0;7.0;0.0;34.0;1487.0;1662;1542.0
7652;90.0;0DB1136D;71A937D5;0.01;0.4;0.45;0.0;0.02;3.0;5.0;8.0;13.0;285.0;34.0;1487.0;1647;1542.0
7651;90.0;0CF58C20;4AC24E4B;0.02;0.22;0.25;0.01;0.01;2.0;5.0;6.0;30.0;289.0;34.0;1501.0;1655;1541.0
7650;90.0;63F6FCA0;6466E4EB;0.03;0.24;0.29;0.01;0.02;2.0;6.0;17.0;49.0;289.0;34.0;1505.0;1652;1550.0
7649;90.0;D50B2FF8;B4E0CC84;0.03;0.21;0.24;0.01;0.03;1.0;6.0;1.0;5.0;468.0;34.0;1507.0;1685;1552.0
7648;90.0;CBC290B2;D927D5F2;0.02;0.14;0.16;0.01;0.02;4.0;4.0;15.0;6.0;465.0;32.0;1507.0;1682;1551.0
7647;90.0;80C12DFE;D9882B65;0.01;0.36;0.39;0.0;0.02;3.0;4.0;8.0;12.0;0.0;34.0;1490.0;1669;1540.0
7646;90.0;AE257436;BFEB6EA0;0.02;0.46;0.52;0.0;0.02;2.0;4.0;6.0;29.0;0.0;34.0;1483.0;1656;1538.0
7645;90.0;BBCC32F6;BFEB6EA0;0.02;0.42;0.47;0.0;0.02;1.0;4.0;17.0;48.0;0.0;34.0;1483.0;1664;1538.0
7644;90.0;8EB51EC1;7D015357;0.02;0.14;0.15;0.01;0.01;2.0;2.0;1.0;4.0;0.0;46.0;1506.0;1679;1551.0
7643;90.0;42088BFA;7D015357;0.02;0.13;0.15;0.01;0.01;1.0;6.0;15.0;5.0;0.0;53.0;1506.0;1705;1551.0
7642;90.0;5AF5C25E;7D015357;0.02;0.13;0.15;0.01;0.01;2.0;2.0;8.0;11.0;2697.0;46.0;1506.0;1674;1551.0
7641;90.0;3496C1A3;7D015357;0.02;0.15;0.17;0.01;0.01;1.0;8.0;6.0;28.0;5540.0;53.0;1506.0;1694;1551.0
7640;90.0;AFFE76FC;76884E9D;0.0;0.88;0.93;0.02;0.08;4.0;4.0;17.0;47.0;2249.0;34.0;1474.0;1615;1509.0
7639;90.0;A9857FEB;E85F4719;0.01;0.64;0.67;0.0;0.03;3.0;4.0;1.0;3.0;616.0;34.0;1487.0;1660;1532.0
7638;90.0;C9A50B46;E85F4719;0.01;0.57;0.6;0.0;0.02;2.0;4.0;15.0;4.0;927.0;34.0;1487.0;1635;1532.0
7637;90.0;B971DDDE;E85F4719;0.01;0.55;0.59;0.0;0.02;1.0;4.0;8.0;10.0;2408.0;34.0;1487.0;1654;1532.0
7636;90.0;1852F753;398F4446;0.01;0.41;0.44;0.02;0.02;8.0;8.0;6.0;27.0;5245.0;41.0;1480.0;1658;1530.0
7635;90.0;47F499CF;0C12C54A;0.0;0.48;0.52;0.02;0.05;7.0;8.0;17.0;46.0;1946.0;51.0;1472.0;1634;1517.0
7634;90.0;2882E32B;0C12C54A;0.0;0.57;0.61;0.02;0.06;6.0;8.0;1.0;2.0;315.0;51.0;1472.0;1655;1517.0
7633;90.0;15A4443C;60EFAC81;0.01;0.45;0.49;0.02;0.06;5.0;8.0;15.0;3.0;623.0;34.0;1480.0;1680;1540.0
7632;90.0;27C38D70;60EFAC81;0.01;0.39;0.42;0.02;0.05;4.0;8.0;8.0;9.0;2108.0;34.0;1480.0;1661;1540.0
7631;90.0;7F27D57A;60EFAC81;0.01;0.42;0.46;0.02;0.05;3.0;8.0;6.0;26.0;4931.0;34.0;1480.0;1660;1540.0
