corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;velocidadeobjetivada;velocidadereal;sugestaomodelolegado;temperaturasaidafp;temperaturaobjetivada;temperaturamediareal
7691;180.0;336236CB;1F3F501C;0.02;0.16;0.18;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1648;1670;1543.0;1555.0
7691;180.0;336236CB;1F3F501C;0.02;0.16;0.18;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1652;1672;1543.0;1555.0
7691;180.0;EFDB105A;1F3F501C;0.02;0.18;0.2;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1650;1670;1543.0;1555.0
7691;180.0;EFDB105A;1F3F501C;0.02;0.18;0.2;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1655;1672;1543.0;1555.0
7691;180.0;EFDB105A;1F3F501C;0.02;0.18;0.2;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1648;1670;1543.0;1555.0
7691;180.0;EFDB105A;1F3F501C;0.02;0.18;0.2;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1651;1672;1543.0;1555.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;51.0;1503.0;0.85;0.85;1674;1678;1543.0;1547.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;51.0;1503.0;0.85;0.85;1681;1678;1543.0;1547.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;55.0;1503.0;0.85;0.85;1680;1678;1543.0;1547.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;55.0;1503.0;0.85;0.85;1677;1678;1543.0;1547.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;51.0;1503.0;0.85;0.85;1678;1678;1543.0;1547.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;51.0;1503.0;0.85;0.85;1671;1678;1543.0;1547.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1674;1678;1543.0;1547.0
7690;180.0;D7B079C7;1F3F501C;0.02;0.14;0.16;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1669;1678;1543.0;1547.0
7690;180.0;B0CDF210;1F3F501C;0.02;0.15;0.17;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1676;1678;1543.0;1547.0
7690;180.0;B0CDF210;1F3F501C;0.02;0.15;0.17;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1672;1678;1543.0;1547.0
7691;180.0;E2B94132;1F3F501C;0.02;0.15;0.17;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1650;1670;1543.0;1555.0
7691;180.0;E2B94132;1F3F501C;0.02;0.15;0.17;0.01;0.01;2.0;2.0;15.0;15.0;2557.0;46.0;1503.0;0.85;0.86;1656;1672;1543.0;1555.0
7690;180.0;B0CDF210;1F3F501C;0.02;0.15;0.17;0.01;0.01;1.0;2.0;16.0;4.0;959.0;51.0;1503.0;0.85;0.85;1672;1678;1543.0;1547.0
7690;180.0;B0CDF210;1F3F501C;0.02;0.15;0.17;0.01;0.01;1.0;2.0;16.0;4.0;959.0;51.0;1503.0;0.85;0.85;1671;1678;1543.0;1547.0
7690;180.0;B0CDF210;1F3F501C;0.02;0.15;0.17;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1676;1678;1543.0;1547.0
7690;180.0;B0CDF210;1F3F501C;0.02;0.15;0.17;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1671;1678;1543.0;1547.0
7690;180.0;EAE8F313;1F3F501C;0.02;0.2;0.22;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1671;1678;1543.0;1547.0
7690;180.0;EAE8F313;1F3F501C;0.02;0.2;0.22;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1671;1678;1543.0;1547.0
7690;180.0;EAE8F313;1F3F501C;0.02;0.2;0.22;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1669;1678;1543.0;1547.0
7690;180.0;EAE8F313;1F3F501C;0.02;0.2;0.22;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1668;1678;1543.0;1547.0
7690;180.0;06F65393;1F3F501C;0.02;0.17;0.19;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1676;1678;1543.0;1547.0
7690;180.0;06F65393;1F3F501C;0.02;0.17;0.19;0.01;0.01;1.0;2.0;16.0;4.0;959.0;46.0;1503.0;0.85;0.85;1670;1678;1543.0;1547.0
7689;90.0;E5AB530D;96956A01;0.02;0.15;0.17;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1651;1672;1540.0;1556.0
7689;90.0;E5AB530D;96956A01;0.02;0.15;0.17;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1649;1672;1540.0;1556.0
7689;90.0;8DEBBA60;96956A01;0.02;0.17;0.19;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1655;1672;1540.0;1556.0
7689;90.0;8DEBBA60;96956A01;0.02;0.17;0.19;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1651;1672;1540.0;1556.0
7689;90.0;8DEBBA60;96956A01;0.02;0.17;0.19;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1652;1672;1540.0;1556.0
7689;90.0;8DEBBA60;96956A01;0.02;0.17;0.19;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1650;1672;1540.0;1556.0
7689;90.0;F98EC60C;96956A01;0.02;0.2;0.22;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1653;1672;1540.0;1556.0
7689;90.0;F98EC60C;96956A01;0.02;0.2;0.22;0.01;0.02;3.0;3.0;6.0;37.0;1800.0;46.0;1500.0;2.1;2.11;1649;1672;1540.0;1556.0
