iter	RMSE
0	20.12043606
1	18.73027896
2	17.52225197
3	16.40535199
4	15.4167524
5	14.50797871
6	13.71486852
7	13.06127215
8	12.39342897
9	11.84941562
10	11.39235223
11	10.94767599
12	10.55085308
13	10.19299197
14	9.892425475
15	9.655903733
16	9.391353012
17	9.159447388
18	8.957754708
19	8.770665762
20	8.612704761
21	8.474885338
22	8.351238827
23	8.241411614
24	8.135219682
25	8.035826491
26	7.950850318
27	7.877602815
28	7.816234078
29	7.748777181
30	7.692251708
31	7.650907498
32	7.588530254
33	7.549228251
34	7.522280283
35	7.485436846
36	7.457184809
37	7.41733084
38	7.389354981
39	7.356665246
40	7.33070661
41	7.31154103
42	7.289956127
43	7.26951865
44	7.229321859
45	7.201018836
46	7.180297421
47	7.158896466
48	7.140434487
49	7.128304176
50	7.11318595
51	7.100438806
52	7.086332113
53	7.069055007
54	7.052742574
55	7.045284132
56	7.025118815
57	7.012958955
58	7.004088246
59	6.989938688
60	6.97641624
61	6.967175986
62	6.963439929
63	6.951831573
64	6.938079822
65	6.927246263
66	6.920018768
67	6.912544432
68	6.904863096
69	6.897204579
70	6.88606014
71	6.877153456
72	6.868456669
73	6.853075136
74	6.846996002
75	6.840901516
76	6.8301214
77	6.821141319
78	6.813185097
79	6.805256829
80	6.799256501
81	6.789496119
82	6.781344545
83	6.777826716
84	6.769711133
85	6.761469211
86	6.747908312
87	6.737366758
88	6.724315355
89	6.715476886
90	6.708744037
91	6.699670803
92	6.691981669
93	6.681080332
94	6.668494834
95	6.662908564
96	6.653320407
97	6.641077797
98	6.632805543
99	6.6208086
100	6.605939929
101	6.598108324
102	6.590043203
103	6.579910001
104	6.561993118
105	6.553553324
106	6.545083755
107	6.533374606
108	6.522975054
109	6.513210933
110	6.504675485
111	6.493944746
112	6.488408756
113	6.481059709
114	6.473277486
115	6.461321199
116	6.455712924
117	6.444180499
118	6.438153657
119	6.429502989
120	6.422559267
121	6.415757141
122	6.409428196
123	6.405313415
124	6.402796695
125	6.395409877
126	6.387329708
127	6.378638742
128	6.372095882
129	6.363871862
130	6.357769802
131	6.350068362
132	6.339908789
133	6.330026081
134	6.326420979
135	6.320506344
136	6.3147621
137	6.309289149
138	6.30159218
139	6.29655672
140	6.289031854
141	6.28105416
142	6.275441938
143	6.274591683
144	6.264341281
145	6.258172979
146	6.250739607
147	6.242626131
148	6.239707087
149	6.234742924
150	6.230173801
151	6.228522714
152	6.223149239
153	6.216572791
154	6.207624182
155	6.197517338
156	6.193105776
157	6.182552235
158	6.176940695
159	6.171663685
160	6.16394532
161	6.161063061
162	6.156675913
163	6.148357504
164	6.140371575
165	6.135590223
166	6.126679086
167	6.122920928
168	6.113655372
169	6.108976571
170	6.10524669
171	6.103104514
172	6.096184831
173	6.092672023
174	6.085894036
175	6.080286257
176	6.073917405
177	6.072634729
178	6.068465599
179	6.065959691
180	6.05967187
181	6.054261582
182	6.047513741
183	6.038732729
184	6.031531066
185	6.02396899
186	6.019899826
187	6.016502107
188	6.01132554
189	6.002807899
190	6.000120199
191	5.997596546
192	5.992516577
193	5.987673369
194	5.97956772
195	5.972198209
196	5.96633276
197	5.959993082
198	5.956554931
199	5.952946159
200	5.946529457
201	5.942773592
202	5.938607664
203	5.932786558
204	5.930273794
205	5.923681757
206	5.921388049
207	5.919362502
208	5.912433772
209	5.906633322
210	5.900335641
211	5.894840306
212	5.892740532
213	5.884866561
214	5.879311425
215	5.874603957
216	5.86987423
217	5.864274899
218	5.860210093
219	5.856300447
220	5.850371153
221	5.848179515
222	5.842472046
223	5.835390871
224	5.830659099
225	5.82706761
226	5.821393532
227	5.819575579
228	5.810991676
229	5.808043288
230	5.803750453
231	5.800780689
232	5.799552129
233	5.79403655
234	5.790180569
235	5.785725115
236	5.780548132
237	5.777588847
238	5.774151991
239	5.769686519
240	5.767157966
241	5.762155675
242	5.759622458
243	5.757848355
244	5.753797832
245	5.751252624
246	5.745267784
247	5.73966025
248	5.736309514
249	5.732443803
250	5.724047983
251	5.721813802
252	5.719128481
253	5.712210053
254	5.710975703
255	5.709216793
256	5.705060139
257	5.700513782
258	5.697461238
259	5.694459699
260	5.689323405
261	5.684781775
262	5.679429584
263	5.675015433
264	5.672379197
265	5.669769819
266	5.666279929
267	5.662017318
268	5.658116358
269	5.652661368
270	5.648629679
271	5.643133396
272	5.639018942
273	5.633141529
274	5.63234648
275	5.629826585
276	5.627318398
277	5.626693148
278	5.622582865
279	5.62106435
280	5.616705704
281	5.614234549
282	5.609248693
283	5.608367196
284	5.60605342
285	5.603036954
286	5.598930627
287	5.596578869
288	5.591393195
289	5.587012493
290	5.580943567
291	5.579181935
292	5.576370176
293	5.570608956
