iter	Passed	Remaining
0	72	72738
1	157	78386
2	241	80184
3	327	81542
4	418	83193
5	500	82868
6	582	82676
7	666	82698
8	750	82636
9	840	83240
10	919	82705
11	1000	82409
12	1082	82198
13	1166	82152
14	1248	81952
15	1331	81890
16	1414	81780
17	1503	82031
18	1587	81980
19	1678	82266
20	1760	82077
21	1847	82150
22	1937	82291
23	2021	82225
24	2104	82070
25	2185	81881
26	2267	81719
27	2372	82370
28	2455	82212
29	2536	82000
30	2618	81852
31	2710	81989
32	2805	82205
33	2887	82047
34	2978	82122
35	3061	81971
36	3144	81846
37	3228	81721
38	3309	81545
39	3391	81398
40	3475	81293
41	3556	81121
42	3636	80938
43	3717	80781
44	3800	80651
45	3937	81661
46	4022	81557
47	4133	81981
48	4214	81792
49	4304	81786
50	4385	81604
51	4467	81440
52	4547	81248
53	4651	81495
54	4754	81691
55	4837	81546
56	4927	81525
57	5006	81320
58	5087	81145
59	5168	80978
60	5272	81163
61	5354	81011
62	5432	80803
63	5512	80626
64	5596	80510
65	5677	80347
66	5766	80298
67	5846	80133
68	5928	79989
69	6017	79945
70	6097	79786
71	6177	79619
72	6257	79459
73	6338	79313
74	6416	79136
75	6511	79160
76	6602	79145
77	6683	79000
78	6763	78850
79	6846	78739
80	6927	78597
81	7007	78446
82	7089	78328
83	7178	78277
84	7258	78135
85	7339	77999
86	7421	77883
87	7502	77755
88	7585	77644
89	7665	77509
90	7745	77368
91	7836	77345
92	7917	77221
93	8006	77168
94	8091	77083
95	8170	76937
96	8248	76787
97	8339	76755
98	8427	76701
99	8510	76598
100	8591	76470
101	8669	76325
102	8749	76193
103	8829	76067
104	8940	76206
105	9019	76069
106	9100	75948
107	9181	75833
108	9270	75781
109	9352	75673
110	9433	75551
111	9515	75445
112	9608	75418
113	9688	75299
114	9770	75192
115	9852	75082
116	9931	74955
117	10013	74845
118	10092	74720
119	10174	74612
120	10252	74480
121	10363	74583
122	10473	74673
123	10550	74531
124	10627	74393
125	10703	74244
126	10784	74131
127	10861	73996
128	10943	73890
129	11024	73781
130	11105	73668
131	11186	73556
132	11265	73434
133	11355	73386
134	11433	73257
135	11511	73133
136	11593	73027
137	11673	72916
138	11754	72808
139	11833	72692
140	11915	72590
141	11997	72489
142	12085	72428
143	12163	72307
144	12252	72245
145	12342	72192
146	12420	72073
147	12499	71956
148	12581	71855
149	12659	71736
150	12739	71627
151	12827	71565
152	12908	71458
153	12989	71360
154	13067	71237
155	13145	71121
156	13225	71011
157	13304	70900
158	13392	70837
159	13472	70730
160	13553	70630
161	13639	70556
162	13721	70460
163	13812	70408
164	13889	70290
165	13987	70274
166	14066	70165
167	14146	70056
168	14226	69952
169	14304	69841
170	14385	69739
171	14463	69626
172	14543	69521
173	14624	69424
174	14706	69330
175	14802	69304
176	14885	69211
177	14966	69114
178	15045	69009
179	15124	68900
180	15205	68803
181	15286	68707
182	15369	68614
183	15451	68522
184	15532	68425
185	15612	68327
186	15691	68222
187	15769	68112
188	15849	68009
189	15928	67907
190	16007	67802
191	16086	67697
192	16164	67588
193	16243	67486
194	16324	67390
195	16403	67287
196	16486	67199
197	16566	67102
198	16645	66999
199	16734	66937
200	16813	66835
201	16903	66776
202	16984	66681
203	17063	66580
204	17143	66481
205	17223	66384
206	17304	66291
207	17385	66199
208	17467	66109
209	17549	66019
210	17629	65923
211	17710	65827
212	17790	65731
213	17879	65668
214	17972	65620
215	18054	65532
216	18137	65446
217	18219	65355
218	18301	65267
219	18392	65211
220	18472	65113
221	18554	65025
222	18636	64934
223	18717	64842
224	18798	64751
225	18880	64662
226	18971	64604
227	19052	64512
228	19138	64434
229	19220	64346
230	19300	64252
231	19380	64155
232	19459	64059
233	19542	63971
234	19620	63870
235	19702	63782
236	19783	63689
237	19861	63589
238	19951	63527
239	20034	63442
240	20112	63341
241	20194	63254
242	20277	63169
243	20357	63076
244	20447	63011
245	20532	62931
246	20613	62841
247	20694	62751
248	20775	62661
249	20854	62564
250	20934	62470
251	21015	62378
252	21092	62277
253	21174	62188
254	21254	62095
255	21345	62034
256	21424	61940
257	21505	61847
258	21585	61757
259	21662	61655
260	21742	61561
261	21823	61473
262	21904	61381
263	21994	61316
264	22075	61229
265	22153	61131
266	22234	61039
267	22313	60944
268	22394	60857
269	22473	60762
270	22563	60696
271	22643	60604
272	22723	60511
273	22803	60421
274	22882	60327
275	22962	60235
276	23041	60141
277	23121	60049
278	23199	59954
279	23279	59861
280	23358	59767
281	23437	59673
282	23530	59615
283	23620	59550
284	23701	59461
285	23781	59370
286	23860	59276
287	23939	59183
288	24020	59094
289	24099	59001
290	24178	58908
291	24256	58812
292	24335	58721
293	24414	58628
